Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
386,  52445652.2,Hz,      -40.48,dBm
387,  52581521.7,Hz,      -40.37,dBm
388,  52717391.3,Hz,      -50.82,dBm
389,  52853260.9,Hz,      -50.91,dBm
390,  52989130.4,Hz,      -53.63,dBm
391,  53125000.0,Hz,      -54.41,dBm
392,  53260869.6,Hz,      -53.63,dBm
393,  53396739.1,Hz,      -56.56,dBm
394,  53532608.7,Hz,      -56.11,dBm
395,  53668478.3,Hz,      -59.08,dBm
396,  53804347.8,Hz,      -59.26,dBm
397,  53940217.4,Hz,      -59.15,dBm
398,  54076087.0,Hz,      -58.56,dBm
399,  54211956.5,Hz,      -60.40,dBm
400,  54347826.1,Hz,      -59.87,dBm
401,  54483695.7,Hz,      -59.34,dBm
402,  54619565.2,Hz,      -63.06,dBm
403,  54755434.8,Hz,      -62.54,dBm
404,  54891304.3,Hz,      -62.03,dBm
405,  55027173.9,Hz,      -60.29,dBm
406,  55163043.5,Hz,      -62.43,dBm
407,  55298913.0,Hz,      -64.97,dBm
408,  55434782.6,Hz,      -64.43,dBm
409,  55570652.2,Hz,      -65.55,dBm
410,  55706521.7,Hz,      -63.51,dBm
411,  55842391.3,Hz,      -63.33,dBm
412,  55978260.9,Hz,      -64.62,dBm
413,  56114130.4,Hz,      -65.07,dBm
414,  56250000.0,Hz,      -66.36,dBm
415,  56385869.6,Hz,      -67.16,dBm
416,  56521739.1,Hz,      -66.16,dBm
417,  56657608.7,Hz,      -66.27,dBm
418,  56793478.3,Hz,      -68.49,dBm
419,  56929347.8,Hz,      -66.85,dBm
420,  57065217.4,Hz,      -69.10,dBm
421,  57201087.0,Hz,      -69.07,dBm
422,  57336956.5,Hz,      -67.45,dBm
423,  57472826.1,Hz,      -66.59,dBm
424,  57608695.7,Hz,      -69.80,dBm
425,  57744565.2,Hz,      -69.07,dBm
426,  57880434.8,Hz,      -70.51,dBm
427,  58016304.3,Hz,      -69.97,dBm
428,  58152173.9,Hz,      -69.97,dBm
429,  58288043.5,Hz,      -69.80,dBm
430,  58423913.0,Hz,      -69.35,dBm
431,  58559782.6,Hz,      -69.69,dBm
432,  58695652.2,Hz,      -69.88,dBm
433,  58831521.7,Hz,      -66.93,dBm
434,  58967391.3,Hz,      -71.65,dBm
435,  59103260.9,Hz,      -69.26,dBm
436,  59239130.4,Hz,      -70.91,dBm
437,  59375000.0,Hz,      -70.61,dBm
438,  59510869.6,Hz,      -68.51,dBm
439,  59646739.1,Hz,      -70.53,dBm
440,  59782608.7,Hz,      -70.77,dBm
441,  59918478.3,Hz,      -69.57,dBm
442,  60054347.8,Hz,      -68.63,dBm
443,  60190217.4,Hz,      -71.12,dBm
444,  60326087.0,Hz,      -70.56,dBm
445,  60461956.5,Hz,      -69.23,dBm
446,  60597826.1,Hz,      -69.63,dBm
447,  60733695.7,Hz,      -70.47,dBm
448,  60869565.2,Hz,      -69.46,dBm
449,  61005434.8,Hz,      -68.36,dBm
450,  61141304.3,Hz,      -70.52,dBm
451,  61277173.9,Hz,      -67.71,dBm
452,  61413043.5,Hz,      -68.97,dBm
453,  61548913.0,Hz,      -69.26,dBm
454,  61684782.6,Hz,      -65.98,dBm
455,  61820652.2,Hz,      -67.33,dBm
456,  61956521.7,Hz,      -68.47,dBm
457,  62092391.3,Hz,      -68.24,dBm
458,  62228260.9,Hz,      -68.65,dBm
459,  62364130.4,Hz,      -68.33,dBm
460,  62500000.0,Hz,      -68.76,dBm
