Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
347,  47146739.1,Hz,      -51.77,dBm
348,  47282608.7,Hz,      -52.59,dBm
349,  47418478.3,Hz,      -50.59,dBm
350,  47554347.8,Hz,      -51.41,dBm
351,  47690217.4,Hz,      -49.83,dBm
352,  47826087.0,Hz,      -52.20,dBm
353,  47961956.5,Hz,      -50.95,dBm
354,  48097826.1,Hz,      -52.25,dBm
355,  48233695.7,Hz,      -52.64,dBm
356,  48369565.2,Hz,      -51.25,dBm
357,  48505434.8,Hz,      -48.67,dBm
358,  48641304.3,Hz,      -50.11,dBm
359,  48777173.9,Hz,      -49.52,dBm
360,  48913043.5,Hz,      -51.90,dBm
361,  49048913.0,Hz,      -51.68,dBm
362,  49184782.6,Hz,      -51.57,dBm
363,  49320652.2,Hz,      -51.65,dBm
364,  49456521.7,Hz,      -53.53,dBm
365,  49592391.3,Hz,      -52.82,dBm
366,  49728260.9,Hz,      -52.53,dBm
367,  49864130.4,Hz,      -51.05,dBm
368,  50000000.0,Hz,      -53.34,dBm
369,  50135869.6,Hz,      -52.03,dBm
370,  50271739.1,Hz,      -51.10,dBm
371,  50407608.7,Hz,      -53.22,dBm
372,  50543478.3,Hz,      -51.38,dBm
373,  50679347.8,Hz,      -50.91,dBm
374,  50815217.4,Hz,      -50.69,dBm
375,  50951087.0,Hz,      -50.77,dBm
376,  51086956.5,Hz,      -52.53,dBm
377,  51222826.1,Hz,      -50.83,dBm
378,  51358695.7,Hz,      -51.78,dBm
379,  51494565.2,Hz,      -51.51,dBm
380,  51630434.8,Hz,      -53.22,dBm
381,  51766304.3,Hz,      -52.60,dBm
382,  51902173.9,Hz,      -52.21,dBm
383,  52038043.5,Hz,      -50.08,dBm
384,  52173913.0,Hz,      -51.18,dBm
