Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
329,  44701087.0,Hz,      -44.96,dBm
330,  44836956.5,Hz,      -46.23,dBm
331,  44972826.1,Hz,      -44.19,dBm
332,  45108695.7,Hz,      -45.92,dBm
333,  45244565.2,Hz,      -44.13,dBm
334,  45380434.8,Hz,      -45.58,dBm
335,  45516304.3,Hz,      -46.12,dBm
336,  45652173.9,Hz,      -46.96,dBm
337,  45788043.5,Hz,      -43.59,dBm
338,  45923913.0,Hz,      -45.13,dBm
339,  46059782.6,Hz,      -47.44,dBm
340,  46195652.2,Hz,      -46.17,dBm
341,  46331521.7,Hz,      -45.55,dBm
342,  46467391.3,Hz,      -46.34,dBm
343,  46603260.9,Hz,      -46.76,dBm
344,  46739130.4,Hz,      -46.62,dBm
345,  46875000.0,Hz,      -45.24,dBm
346,  47010869.6,Hz,      -47.26,dBm
347,  47146739.1,Hz,      -46.90,dBm
348,  47282608.7,Hz,      -44.48,dBm
349,  47418478.3,Hz,      -45.38,dBm
350,  47554347.8,Hz,      -47.35,dBm
351,  47690217.4,Hz,      -44.84,dBm
352,  47826087.0,Hz,      -47.43,dBm
353,  47961956.5,Hz,      -48.03,dBm
354,  48097826.1,Hz,      -46.31,dBm
355,  48233695.7,Hz,      -45.46,dBm
356,  48369565.2,Hz,      -45.85,dBm
357,  48505434.8,Hz,      -47.15,dBm
358,  48641304.3,Hz,      -47.09,dBm
359,  48777173.9,Hz,      -47.63,dBm
360,  48913043.5,Hz,      -46.87,dBm
361,  49048913.0,Hz,      -46.56,dBm
362,  49184782.6,Hz,      -47.17,dBm
363,  49320652.2,Hz,      -46.22,dBm
364,  49456521.7,Hz,      -46.11,dBm
365,  49592391.3,Hz,      -44.95,dBm
366,  49728260.9,Hz,      -47.97,dBm
367,  49864130.4,Hz,      -49.55,dBm
368,  50000000.0,Hz,      -47.20,dBm
369,  50135869.6,Hz,      -48.22,dBm
370,  50271739.1,Hz,      -47.25,dBm
371,  50407608.7,Hz,      -46.36,dBm
372,  50543478.3,Hz,      -46.47,dBm
373,  50679347.8,Hz,      -49.68,dBm
374,  50815217.4,Hz,      -47.06,dBm
375,  50951087.0,Hz,      -49.49,dBm
376,  51086956.5,Hz,      -47.91,dBm
377,  51222826.1,Hz,      -49.12,dBm
378,  51358695.7,Hz,      -48.41,dBm
379,  51494565.2,Hz,      -47.82,dBm
380,  51630434.8,Hz,      -48.44,dBm
381,  51766304.3,Hz,      -49.28,dBm
382,  51902173.9,Hz,      -49.14,dBm
383,  52038043.5,Hz,      -47.45,dBm
384,  52173913.0,Hz,      -47.59,dBm
385,  52309782.6,Hz,      -48.97,dBm
386,  52445652.2,Hz,      -49.31,dBm
387,  52581521.7,Hz,      -52.95,dBm
388,  52717391.3,Hz,      -57.54,dBm
389,  52853260.9,Hz,      -56.93,dBm
390,  52989130.4,Hz,      -58.23,dBm
391,  53125000.0,Hz,      -58.79,dBm
392,  53260869.6,Hz,      -58.36,dBm
393,  53396739.1,Hz,      -58.33,dBm
394,  53532608.7,Hz,      -60.93,dBm
395,  53668478.3,Hz,      -57.20,dBm
396,  53804347.8,Hz,      -58.87,dBm
397,  53940217.4,Hz,      -60.61,dBm
398,  54076087.0,Hz,      -59.13,dBm
399,  54211956.5,Hz,      -60.87,dBm
400,  54347826.1,Hz,      -59.92,dBm
401,  54483695.7,Hz,      -60.53,dBm
402,  54619565.2,Hz,      -59.42,dBm
403,  54755434.8,Hz,      -59.55,dBm
404,  54891304.3,Hz,      -59.60,dBm
405,  55027173.9,Hz,      -62.22,dBm
406,  55163043.5,Hz,      -61.64,dBm
407,  55298913.0,Hz,      -63.73,dBm
408,  55434782.6,Hz,      -60.58,dBm
409,  55570652.2,Hz,      -61.97,dBm
410,  55706521.7,Hz,      -58.60,dBm
411,  55842391.3,Hz,      -64.97,dBm
412,  55978260.9,Hz,      -63.14,dBm
413,  56114130.4,Hz,      -63.14,dBm
414,  56250000.0,Hz,      -62.98,dBm
415,  56385869.6,Hz,      -63.14,dBm
416,  56521739.1,Hz,      -63.78,dBm
417,  56657608.7,Hz,      -65.10,dBm
418,  56793478.3,Hz,      -65.36,dBm
419,  56929347.8,Hz,      -65.05,dBm
420,  57065217.4,Hz,      -62.53,dBm
421,  57201087.0,Hz,      -64.02,dBm
422,  57336956.5,Hz,      -64.31,dBm
423,  57472826.1,Hz,      -65.01,dBm
424,  57608695.7,Hz,      -62.90,dBm
425,  57744565.2,Hz,      -63.94,dBm
426,  57880434.8,Hz,      -64.69,dBm
427,  58016304.3,Hz,      -63.88,dBm
428,  58152173.9,Hz,      -66.15,dBm
429,  58288043.5,Hz,      -64.93,dBm
430,  58423913.0,Hz,      -67.20,dBm
431,  58559782.6,Hz,      -66.21,dBm
432,  58695652.2,Hz,      -63.00,dBm
433,  58831521.7,Hz,      -65.57,dBm
434,  58967391.3,Hz,      -66.30,dBm
435,  59103260.9,Hz,      -63.42,dBm
436,  59239130.4,Hz,      -66.24,dBm
437,  59375000.0,Hz,      -67.61,dBm
438,  59510869.6,Hz,      -66.41,dBm
439,  59646739.1,Hz,      -64.98,dBm
440,  59782608.7,Hz,      -65.41,dBm
441,  59918478.3,Hz,      -66.55,dBm
442,  60054347.8,Hz,      -64.82,dBm
443,  60190217.4,Hz,      -66.32,dBm
444,  60326087.0,Hz,      -66.58,dBm
445,  60461956.5,Hz,      -66.47,dBm
446,  60597826.1,Hz,      -64.41,dBm
447,  60733695.7,Hz,      -65.78,dBm
448,  60869565.2,Hz,      -67.44,dBm
449,  61005434.8,Hz,      -65.59,dBm
450,  61141304.3,Hz,      -67.34,dBm
451,  61277173.9,Hz,      -64.47,dBm
452,  61413043.5,Hz,      -66.32,dBm
453,  61548913.0,Hz,      -67.34,dBm
454,  61684782.6,Hz,      -66.00,dBm
455,  61820652.2,Hz,      -64.84,dBm
456,  61956521.7,Hz,      -66.89,dBm
457,  62092391.3,Hz,      -67.44,dBm
458,  62228260.9,Hz,      -63.34,dBm
459,  62364130.4,Hz,      -64.68,dBm
460,  62500000.0,Hz,      -65.78,dBm
